Residential building approvals,,,,,,
Albury City,Number,,,Annual change,,
Year (ending June 30),Houses,Other,Total,Houses,Other,Total
2023-24 FYTD (May),297,45,342,,,
2022-23,360,50,410,-11,+12,+1
2021-22,371,38,409,-172,+13,-159
2020-21,543,25,568,+194,-22,+172
2019-20,349,47,396,+49,+18,+67
2018-19,300,29,329,+49,-24,+25
2017-18,251,53,304,-59,+35,-24
2016-17,310,18,328,-161,-58,-219
2015-16,471,76,547,+116,+6,+122
2014-15,355,70,425,+56,+11,+67
2013-14,299,59,358,+117,+41,+158
2012-13,182,18,200,0,-12,-12
2011-12,182,30,212,+17,-62,-45
2010-11,165,92,257,-80,-13,-93
2009-10,245,105,350,-120,+100,-20
2008-09,365,5,370,+53,-9,+44
2007-08,312,14,326,+11,-16,-5
2006-07,301,30,331,-42,-15,-57
2005-06,343,45,388,+46,-55,-9
2004-05,297,100,397,-84,+90,+6
2003-04,381,10,391,+71,-4,+67
2002-03,310,14,324,+25,-5,+20
2001-02,285,19,304,,,
,,,,,,
"Source: Australian Bureau of Statistics, Building Approvals, Australia (8731.0). Compiled and presented in profile.id by .id (informed decisions)",,,,,,
http://www.id.com.au,,,,,,
