Residential building approvals,,,,,,
City of Coffs Harbour,Number,,,Annual change,,
Year (ending June 30),Houses,Other,Total,Houses,Other,Total
2023-24 FYTD (May),156,27,183,,,
2022-23,161,104,265,-55,-150,-205
2021-22,216,254,470,-158,+143,-15
2020-21,374,111,485,+130,+49,+179
2019-20,244,62,306,-59,-237,-296
2018-19,303,299,602,+15,+174,+189
2017-18,288,125,413,-44,-6,-50
2016-17,332,131,463,+64,-47,+17
2015-16,268,178,446,-22,+97,+75
2014-15,290,81,371,+63,+30,+93
2013-14,227,51,278,+19,+7,+26
2012-13,208,44,252,+15,-9,+6
2011-12,193,53,246,-64,+17,-47
2010-11,257,36,293,-52,-62,-114
2009-10,309,98,407,+49,-107,-58
2008-09,260,205,465,-14,+2,-12
2007-08,274,203,477,+21,-39,-18
2006-07,253,242,495,-31,-256,-287
2005-06,284,498,782,-62,+66,+4
2004-05,346,432,778,-100,+199,+99
2003-04,446,233,679,-113,+53,-60
2002-03,559,180,739,+26,-164,-138
2001-02,533,344,877,,,
,,,,,,
"Source: Australian Bureau of Statistics, Building Approvals, Australia (8731.0). Compiled and presented in profile.id by .id (informed decisions)",,,,,,
http://www.id.com.au,,,,,,
